Word,English Translation
manflor,manflor
trabuco,blunderbuss
por huevos,for eggs
comilón,glutton
zorra,bitch
todo el jupa de poll,all the jupa de poll
triple-hijueputa,triple-hijueputa
tocarse los cojones,busting a nut
poronga,poronga
cocoon,cocoon
tocarse los huevos,touching your balls
verga muy grande,very large cock
raro,rare
chingón,chingón
no joda,no joda
follar,fuck
soplanucas,soplanucas
negrito,negrito
puttus,puttus
verga,cock
chingar,chingar
fran,fran
gilipolla,asshole
caquita de la vaquita,cow patty
me cago en ti,I shit on you
kieta el stupido elephante,kieta the stupid elephant
knave,knave
güey,güey
bete a la verga,go to hell
orto,ortho
payaso,clown
cabro,goat
loco,crazy
capullo,cocoon
mariconzón,faggot
mierda de toro,bull shit
chula,chula
echar madrazos,punching
tocarse las pelotas,busting a nut
tragasables,swallowable
afeminado,effeminate
mierda,shit
loca,madwoman
hijueputa,hijueputa
pinnus,pinnus
tonto,fool
collons,collons
buey,ox
culear,snoring
qué chingados es eso,what the fuck is that
puñal,dagger
conchetumadre,conchetumadre
ahueonao,ahueonao
garcha,garcha
pelotudo,asshole
miércoles,Wednesday
le metio la verga,he stuck his dick in it
jode tu madre ayer noche,fuck your mother last night
cacorro,cacorro
percanta,percanta
ahuevoneado,dumbed down
chinga tu madre,fuck your mother
perra,bitch
chorizo,chorizo
palanca de cambios,gearshift lever
caca,poop
culero,asshole
joystick,joystick
pájaro,bird
hueco,hollow
tu eres más feo que el culo de un mono,You're uglier than a monkey's ass.
yo cago en la leche de tu puta madre,I shit in the milk of your mother's whore milk
estás cabrón,you're a bastard
atontado,stunned
chingada,chingada
chingona,chingona
"uy, que care-chimba","uy, what a care-chimba"
chulo,pimp
bolson,bolson
chingada madre,motherfucker
mamagüevo,mamagüevo
tu madre es una puta fea,your mother is an ugly whore
tragaleche,tragaleche
vaina,pod
gilipollez,bullshit
coger,catch
chota,chota
muerdealmohadas,pillowbiter
cara de mi huevo izquierdo,my left egg face
puttana,puttana
cockroach,cockroach
chivo,goat
andate a la chucha,go to hell
culito,ass
tocar los huevos,touching the eggs
"qué maricón de mierda, eh?","what a fucking faggot, eh?"
poto,poto
polla,cock
bujarra,bujarra
bugarrón,bugarrón
bombilla de cuero,leather bulb
maricueca,maricueca
tu madre es muy gato y feo,your mother is very cat-like and ugly
me cago en la hostia,FUCKING FUCKING HOSTAGE
soy la verga andando,I'm the walking dick
"mano, eres tremendamente maricón","mano, you are a tremendous faggot"
puta barrata,fucking barrata
el orto,the ortho
"chinga tu madre, cabrón","fuck your mother, motherfucker"
puta madre,motherfucker
boludo,boludo
so',so
está muy pinche,it is very pinchy
coño,pussy
huevos,eggs
te voy a meter la verga,I'm going to stick my dick in you
mira qué cabrón,look what a bastard
desgraciado,wretched
colizón,colizon
marimacha,marimacha
carajito,carajito
bambaro,bambaro
roscón,roscón
mierda de toros,bull shit
cochón,cochon
plumón,down
culiao,culiao
manflora,manflora
chichis,chichis
hueles a mierda,you smell like shit
vete al carajo,go to hell
raghead,raghead
camel jockey,camel jockey
chingon,chingon
chotar,chotar
pendo,pendo
chocha,chocha
ahuevado,hollowed out
estúpido,stupid
bujarrón,bujarron
pendejo,asshole
bufarrón,buffoon
me cago en tu puta madre,I fuck your motherfuckin' motherfucker
parchita,parchita
culo,ass
bicho,bug
yo soy cabrón,I am a bastard
pinche güey,pinche güey
panocha,panocha
maricón,fag
marica,fag
perro,dog
bombilla,bulb
culo peludo,hairy ass
que te jodan,fuck you
chapero,hustler
huevon,huevon
madre,mother
jack,jack
calójili,calójili
chingados,fuckers
tu hermano no tiene la ingle,your brother does not have a groin
me cago en dios,FUCK MY GOD
cojete mi suegra,fuck my mother-in-law
tocar los pelotas,busting balls
burro,donkey
albondigas,meatballs
el ojete,the eyelet
mayate,mayate
pulla,pulla
hijo de puta,son of a bitch
bastardo,bastard
"vení, oleme la chucha","come on, smell my cock"
cuca,cuca
cagar,shit
partido,party
chocho,pussy
mariposa,butterfly
fleto,freight
fresa,strawberry
putus,putus
pija,dick
rarito,rarito
imbécil,imbecile
pelotas,balls
chucha,chucha
cojones,cojones
homogay,homogay
que comemierderia,what a piece of shit
chucha de tu madre,motherfucker
way,way
chupamela,suck my dick
mamagüevazo,mamagüevazo
tienes ganas,you feel like
idiota,idiot
