Word,Language,IPA,English Translation,Sentiment_Compound
sfacim e merde,it,sfatʃimemerde,pig,0.0
maiala,it,maiala,holy crap,-0.3818
porca miseria,it,porkamiseria,shitter,0.0
cagacazzo,it,kaɡakatso,wanker,-0.5423
segaiolo,it,seɡaiolo,cuckolds,0.0
cornuti,it,kornuti,pumping,0.0
pompinaro,it,pompinaro,slut,-0.5859
zoccola,it,sokola,broken in the ass,-0.765
rotto nel culo,it,rotonelkulo,minchie,0.0
minchie,it,minkie,asses,0.0
culi,it,kuli,get pissed off,-0.6369
incazzarsi,it,inkatsarsi,fuck,-0.5423
fottere,it,fotere,fongoul,0.0
fongoul,it,fonɡoul,jinx,0.0
sfiga,it,sfiɡa,dicking around,0.0
cazzeggiare,it,katsedʒare,kangaroo god,0.2732
dio cangurello,it,diokanɡurelo,go sell your ass,-0.5423
vai a vendere il culo,it,vaiavendereilkulo,what the fuck,-0.5423
che cazzo,it,kekatso,eat shit and death,-0.8176
mangia merde e morte,it,mandʒamerdeemorte,mimbominkia,0.0
mimbominkia,it,mimbominkia,Geez!,0.0
accidenti!,it,atʃidenti,fuck,-0.5423
scopare,it,ʃopare,"go fuck yourself, bitch!",-0.8221
"vai a farti fottere, puttana!",it,vaiafartifotereputana,I will kill you,-0.6908
ti ammazzo,it,tiamatso,crap,-0.3818
cagata,it,kaɡata,fag,-0.4767
ricchione,it,rikione,bastard,-0.5423
bastardo,it,bastardo,saws,0.0
seghe,it,seɡe,whore,-0.6486
puttana,it,putana,go give your ass away,-0.5423
vai a dar via il culo,it,vaiadarviailkulo,fucking Mother of God,0.3321
cazzo Madre di dio,it,katsomadredidio,blowjob,0.0
pompino,it,pompino,cum,0.0
sborra,it,zbora,you piece of shit!,-0.5983
tu piezza di merda!,it,tupietsadimerda,son a dog,0.0
figlio un cane,it,fiʎounkane,big wretch,0.0
gran’ disgraziato,it,ɡrandisɡrasiato,going to whores:,-0.6124
andare a puttane:,it,andareaputane,whoremonger,-0.5574
puttaniere,it,putaniere,mafankulo,0.0
mafankulo,it,mafankulo,holy shit,-0.5574
porca troia,it,porkatroia,dicks,0.0
cazzi,it,katsi,holy crap,-0.3818
porca eva,it,porkaeva,that they can kill you!,-0.7177
che te pozzino ammazza!,it,ketepotsinoamatsa,sbora,0.0
sbora,it,zbora,shithead,-0.6249
testa di cazzo,it,testadikatso,jerk,-0.34
cretino,it,kretino,that sucks,-0.3612
che palle,it,kepale,bastards,-0.6124
bastardi,it,bastardi,rottinculo,0.0
rottinculo,it,rotinkulo,GOD.,0.2732
dio santo!,it,diosanto,tallow,0.0
segone,it,seɡone,saw,0.0
sega,it,seɡa,cum,0.0
sborrare,it,zborare,fuck,-0.5423
cazzo,it,katso,chicks,0.0
gnocche,it,ɲoke,dang you,0.0
mannaggia tua,it,manadʒatua,no one unfungulo me,-0.296
nessuno mi unfungulo,it,nesunomiunfunɡulo,fucking shit,-0.5984
cazzo di merda,it,katsodimerda,Dickhead,-0.6249
Testa di minchia,it,testadiminkia,chip,0.0
fiche,it,fike,you ma pees standing up,0.0
tu ma’ piscia in piedi,it,tumapistʃainpiedi,ugly son of a bitch bastard,-0.891
brutto figlio di puttana bastardo,it,brutofiʎodiputanabastardo,faggots,-0.6369
froci,it,frotʃi,whores,-0.6124
آب کیر,fa,ɒbkjr,water.,0.0
آشغال,fa,ɒʃɣɒl,rubbish.,0.0
آلت تناسلی,fa,ɒlttnɒslj,penis.,0.0
آلت,fa,ɒlt,The penis.,0.0
ابله,fa,ɒblh,Stupid idiot.,-0.7717
ابن یزید,fa,ɒbnjzjd,The son of Aaron.,0.0
احمق,fa,ɒhmɣ,Stupid fool.,-0.743
اسب,fa,ɒsb,Horse horse.,0.0
اسبی,fa,ɒsbj,Horse.,0.0
اسکل,fa,ɒskl,Sacks.,0.0
اسکل,fa,ɒskl,Sacks.,0.0
اسگل,fa,ɒsɡl,Siggles.,0.0
اسگول,fa,ɒsɡvl,Gog.,0.0
الاغ,fa,ɒlɒɣ,The donkey.,0.0
الاق,fa,ɒlɒɣ,of the right.,0.0
انگل,fa,ɒŋl,parasite.,0.0
انی,fa,ɒnj,O you.,0.0
انی,fa,ɒnj,O you.,0.0
اوسکل,fa,ɒvskl,The Sword.,0.0
اوسکل,fa,ɒvskl,The Sword.,0.0
اوسگل,fa,ɒvsɡl,O'Sel.,0.0
اوصکل,fa,ɒvskl,The whole thing.,0.0
اوصگل,fa,ɒvsɡl,Or by the name.,0.0
ب ک,fa,bk,b.,0.0
باسن,fa,bɒsn,hips.,0.0
بخورش,fa,bxvrʃ,Eat it.,0.0
بدبخت,fa,bdbxt,miserable.,-0.4939
بمال,fa,bmɒl,by the,0.0
تخمم,fa,txmm,My egg.,0.0
کیرم,fa,kjrm,I'm old.,0.0
بپرروش,fa,brrvʃ,So they jump.,0.0
بپرسرش,fa,brsrʃ,Ask them.,0.0
کونی,fa,kvnj,Consie.,0.0
بکارت,fa,bkɒrt,Use of you.,0.0
بکن توش,fa,bkntvʃ,Do it in there.,0.0
بکنش,fa,bknʃ,Do it.,0.0
بکنمت,fa,bknmt,I will do it.,0.0
خایه,fa,xɒjh,And complain.,-0.3612
بی عفت,fa,bjʔft,And it's amazing.,0.5859
بی غیرت,fa,bjɣjrt,"No, no.",0.0
بی ناموس,fa,bjnɒmvs,The nameless.,0.0
بی پدر,fa,bjdr,Fatherless Father.,0.0
بیابخورش,fa,bjɒbxvrʃ,And it is unsounded.,0.0
بیشعور,fa,bjʃʔvr,Too much.,0.0
بیناموس,fa,bjnɒmvs,Between the words.,0.0
تخم سگ,fa,txmsɡ,Dog eggs.,0.0
تخمی,fa,txmj,Eggs.,0.0
ترک,fa,trk,leave.,-0.0516
توله سگ,fa,tvlhsɡ,puppy.,0.0
جاکش,fa,dʒɒkʃ,They are hiding.,-0.296
جلق زدن,fa,dʒlɣzdn,They complain.,-0.3612
جنده,fa,dʒndh,A bitch.,-0.5859
جنسی,fa,dʒnsj,Sexual sex.,0.0
جوون,fa,dʒvvn,Young young.,0.0
جکس,fa,dʒks,Jack.,0.0
جیندا,fa,dʒjndɒ,Janeda.,0.0
حرومزاده,fa,hrvmzɒdh,bastard.,-0.5423
حشر,fa,hʃr,They made it.,0.0
حشری شدن,fa,hʃrjʃdn,They made it.,0.0
حشری,fa,hʃrj,And they voted.,0.0
حیوانی,fa,hjvɒnj,Animal animal,0.0
خارکس ده,fa,xɒrksdh,The Tens.,0.0
خارکسده,fa,xɒrksdh,And the shit.,-0.5574
خارکسّه,fa,xɒrksh,The shit.,-0.5574
خانم جنده,fa,xɒnmdʒndh,Mrs. bitch.,-0.5859
خایه خور,fa,xɒjhxvr,and complain.,-0.3612
خایه مال,fa,xɒjhmɒl,They complain.,-0.3612
خایه,fa,xɒjh,And complain.,-0.3612
خر,fa,xr,Stupid shit.,-0.7906
خرفت,fa,xrft,Buy it.,0.0
خری,fa,xrj,The donkey.,0.0
خز,fa,xz,fur.,0.0
خفه خون,fa,xfhxvn,Shutting blood.,0.0
خفه شو,fa,xfhʃv,Shut up.,0.0
خواهرجنده,fa,xvɒhrdʒndh,Sister.,0.0
خی کاس,fa,xjkɒs,The Cass.,0.0
داف ناز,fa,dɒfnɒz,Duffice.,0.0
داف,fa,dɒf,Duff.,0.0
داگ استایل,fa,dɒɡɒstɒjl,Dog style.,0.0
دخترجنده,fa,dxtrdʒndh,The girl.,0.0
دخترقرتی,fa,dxtrɣrtj,The girl.,0.0
درازگوش,fa,drɒzɡvʃ,The long tail.,0.0
دله,fa,dlh,The heart.,0.6369
دهن سرویس,fa,dhnsrvjs,Mouth service.,0.0
گاییده,fa,ɡɒjjdh,Gay.,0.0
دهنت سرویس,fa,dhntsrvjs,Mouth service.,0.0
دوجنسه,fa,dvdʒnsh,Two sexes.,0.0
دول,fa,dvl,The two.,0.0
دیوث,fa,djvs,Ditmouth.,0.0
دیوس خان,fa,djvsxɒn,Dius Khan,0.0
دیوس,fa,djvs,Dius,0.0
دیوص,fa,djvs,Dave.,0.0
رشتی,fa,rʃtj,رشت,0.0
ریدن,fa,rjdn,Reed.,0.0
ریدی,fa,rjdj,Reed.,0.0
زارت,fa,zɒrt,You are hungry.,0.0
زباله,fa,zbɒlh,waste.,-0.4215
زرنزن,fa,zrnzn,The Magician.,0.0
زن جنده,fa,zndʒndh,A bitch.,-0.5859
زن کاسده,fa,znkɒsdh,Mrs. Cass.,0.0
زنا زاده,fa,znɒzɒdh,Marriages.,0.0
زنا,fa,znɒ,adultery.,0.0
زنازاده,fa,znɒzɒdh,Marriage of the bastard.,-0.5423
زنتو,fa,zntv,The woman.,0.0
زنشو,fa,znʃv,The woman.,0.0
زنیکه,fa,znjkh,The woman.,0.0
سادیسمی,fa,sɒdjsmj,sadism.,0.0
ساک,fa,sɒk,The bag.,0.0
ساکونی,fa,sɒkvnj,Sakoni.,0.0
سرخور,fa,srxvr,So tired.,-0.4927
سرکیر,fa,srkjr,Sir.,0.0
سسکی,fa,sskj,Saskisky.,0.0
سوراخ کون,fa,svrɒxkvn,as a hole.,0.0
سوراخ کون,fa,svrɒxkvn,as a hole.,0.0
سولاخ,fa,svlɒx,Socher.,0.0
سکس چت,fa,skstʃt,Sex chat.,0.0
سکس,fa,sks,Sex sex.,0.0
سکسی باش,fa,sksjbɒʃ,Be sexy.,0.5267
سکسی,fa,sksj,Sexy.,0.5267
سکسیم,fa,sksjm,Sex.,0.0
سکسیی,fa,sksjj,Sexy.,0.5267
سگ تو روحت,fa,sɡtvrvht,Your dog is your soul.,0.0
سگ دهن,fa,sɡdhn,Dog.,0.0
سگ صفت,fa,sɡsft,Dog's word.,0.0
سگ پدر,fa,sɡdr,Father's Dog.,0.0
سگی,fa,sɡj,Dog.,0.0
سیکتیر,fa,sjktjr,Cookies.,0.0
شاسگول,fa,ʃɒsɡvl,Shayle.,0.0
شاش,fa,ʃɒʃ,She's Shaw.,0.0
شق کردن,fa,ʃɣkrdn,Disarray.,0.0
شل مغز,fa,ʃlmɣz,Shell brain.,0.0
شنگول,fa,ʃŋvl,sandy.,0.0
شهوتی,fa,ʃhvtj,Lovely lust.,0.5859
صیغه ای,fa,sjɣhɒj,And you have an excuse.,0.0772
صیک,fa,sjk,A p.,0.0
عرب,fa,ʔrb,Arab Arabs,0.0
عرق خور,fa,ʔrɣxvr,sweaty.,0.0
عمتو,fa,ʔmtv,My uncle.,0.0
عمه ننه,fa,ʔmhnnh,No aunt.,-0.296
عن تر,fa,ʔntr,more i.e.,0.0
عن,fa,ʔn,i.e.,0.0
عنتر,fa,ʔntr,More than the,0.0
عوضی,fa,ʔvzj,The bastard.,-0.5423
غرمساق,fa,ɣrmsɒɣ,Fuck the shit.,-0.7964
غرمصاق,fa,ɣrmsɒɣ,They complain.,-0.3612
فاحشه خانم,fa,fɒhʃhxɒnm,Mrs. prostitute.,0.0
فاحشه,fa,fɒhʃh,prostitute.,0.0
فارس,fa,fɒrs,Persian Gulf.,0.0
فاک فیس,fa,fɒkfjs,Facebook's word.,0.0
فیلم سوپر,fa,fjlmsvr,Super film.,0.5994
قرتی,fa,ɣrtj,قر,0.0
قرمساق,fa,ɣrmsɒɣ,قر,0.0
قرمصاق,fa,ɣrmsɒɣ,قر,0.0
قس,fa,ɣs,ق,0.0
لا پا,fa,lɒɒ,La feet.,0.0
لاس,fa,lɒs,Las Vegas,0.0
لاش گوشت,fa,lɒʃɡvʃt,The meat.,0.0
لاشی,fa,lɒʃj,Lashi.,0.0
لاکونی,fa,lɒkvnj,The Lockheed,0.0
لجن,fa,ldʒn,And the seed.,0.0
لخت,fa,lxt,naked naked naked.,0.0
لختی,fa,lxtj,naked.,0.0
لر,fa,lr,Jack.,0.0
لز,fa,lz,Les.,0.0
مادر جنده,fa,mɒdrdʒndh,The bastard mother.,-0.5423
مادرجنده,fa,mɒdrdʒndh,The mother.,0.0
مادرسگ,fa,mɒdrsɡ,Mother Dog.,0.0
مادرقهوه,fa,mɒdrɣhvh,Coffee mother.,0.0
مادرکونی,fa,mɒdrkvnj,Mother of Kui.,0.0
مالوندن,fa,mɒlvndn,Malmond.,0.0
ماچ کردنی,fa,mɒtʃkrdnj,Make me laugh.,0.5574
مرتیکه,fa,mrtjkh,And the,0.0
مردیکه,fa,mrdjkh,A man who,0.0
مرض داری,fa,mrzdɒrj,You have a disease.,0.0
مرضداری,fa,mrzdɒrj,Sickness.,0.0
مشروب,fa,mʃrvb,Drink alcohol.,0.0
ملنگ,fa,mlŋ,Melang.,0.0
ممه خور,fa,mmhxvr,I'm sorry.,-0.0772
ممه,fa,mmh,I am sorry.,-0.0772
منگل,fa,mŋl,Menge.,0.0
میخوریش,fa,mjxvrjʃ,You eat it.,0.0
نرکده,fa,nrkdh,Not a horse.,0.0
نعشه,fa,nʔʃh,They did not.,0.0
نکبت,fa,nkbt,Bad shit.,-0.7964
نگاییدم,fa,ŋɒjjdm,Look at me.,0.0
هیز,fa,hjz,Hey hey hey.,0.0
ولدزنا,fa,vldznɒ,Volsina.,0.0
پدر سوخته,fa,drsvxth,Father burned.,0.0
پدر سگ,fa,drsɡ,Father of Dog.,0.0
پدر صلواتی,fa,drslvɒtj,Father of prayer.,0.0
پدرسگ,fa,drsɡ,Father Dog.,0.0
پریود,fa,rjvd,A period of time.,0.0
پستان,fa,stɒn,breast breast breast breast.,0.0
پسون,fa,svn,And then he was.,0.0
پشمام,fa,ʃmɒm,I am tired.,-0.4404
پفیوز,fa,fjvz,Suffice.,0.0
پلشت,fa,lʃt,Paul.,0.0
پورن,fa,vrn,porn porn.,0.0
پپه,fa,h,Pepe.,0.0
چاغال,fa,tʃɒɣɒl,The fuck.,-0.5423
چاقال,fa,tʃɒɣɒl,Fatal fat.,-0.5423
چس خور,fa,tʃsxvr,The bite.,0.0
چس,fa,tʃs,Chas.,0.0
کاسکش,fa,kɒskʃ,Cass.,0.0
کث لیس,fa,ksljs,The lick.,0.0
کث,fa,ks,The KTH.,0.0
کثافت,fa,ksɒft,Stupid shit.,-0.7906
کثافط,fa,ksɒft,Contribute.,0.0
کردن,fa,krdn,Making it.,0.0
کردنی,fa,krdnj,Kennedy.,0.0
کرم,fa,krm,The worm.,0.0
کس خل,fa,ksxl,Who is wrong.,-0.4767
کس خور,fa,ksxvr,Who's eating.,0.0
کس خیس,fa,ksxjs,Someone wet.,0.0
کس دادن,fa,ksdɒdn,Giving someone.,0.34
کس لیس,fa,ksljs,Who is Lisa.,0.0
کس لیسیدن,fa,ksljsjdn,Someone is licking.,0.0
کس ننت,fa,ksnnt,Nobody.,0.0
کس و کیر,fa,ksvkjr,Who and Kir,0.0
کس کردن,fa,kskrdn,Kill someone.,-0.6908
کس کش,fa,kskʃ,Who's holding.,0.0
کس,fa,ks,Someone.,0.0
کسخل,fa,ksxl,And who is wrong.,-0.4767
کسشعر,fa,ksʃʔr,Who's Poetry.,0.0
کسکش,fa,kskʃ,And the one who knows.,0.0
کسکیر,fa,kskjr,Who is Freder.,0.0
کص خل,fa,ksxl,The shit.,-0.5574
کص لیس,fa,ksljs,lick.,0.0
کص,fa,ks,C.,0.0
کصافت,fa,ksɒft,You are right.,0.0
کصافط,fa,ksɒft,And the right thing.,0.0
کصخل,fa,ksxl,The Magician.,0.0
کصکش,fa,kskʃ,They are the receiver.,0.0
کلفت,fa,klft,thick.,0.0
کله کیری,fa,klhkjrj,The head of Kiri.,0.0
کوث لیس,fa,kvsljs,Colosse.,0.0
کوس خل,fa,kvsxl,The shit.,-0.5574
کوس خور,fa,kvsxvr,I'm sorry.,-0.0772
کوس لیس,fa,kvsljs,The slick.,0.0
کوس,fa,kvs,ko.,0.0
کوص خل,fa,kvsxl,The shit.,-0.5574
کوص لیس,fa,kvsljs,The lick.,0.0
کوص,fa,kvs,Coke.,0.0
کون تپل,fa,kvntl,As T.,0.0
کون ده,fa,kvndh,Number ten.,0.0772
کون سوراخ,fa,kvnsvrɒx,The hole.,0.0
کون پنیر,fa,kvnnjr,The cheese.,0.0
کون گنده,fa,kvnɡndh,Big as.,0.0
کون,fa,kvn,Conta.,0.0
کونده خار,fa,kvndhxɒr,And the shit.,-0.5574
کونده خوار,fa,kvndhxvɒr,They are hungry.,0.0
کونده,fa,kvndh,Fuck the cat.,-0.5423
کونشو,fa,kvnʃv,Asshu.,0.0
کونی,fa,kvnj,Consie.,0.0
کونی,fa,kvnj,Consie.,0.0
کیر,fa,kjr,Kir.,0.0
کیردراز,fa,kjrdrɒz,Cinders.,0.0
کیردوس,fa,kjrdvs,Kird.,0.0
کیرر,fa,kjrr,Kerr.,0.0
کیرمکیدن,fa,kjrmkjdn,Cookie.,0.0
کیرناز,fa,kjrnɒz,Keren.,0.0
کیروکس,fa,kjrvks,Kirox,0.0
کیروکس,fa,kjrvks,Kirox,0.0
کیری,fa,kjrj,Cir.,0.0
گاو,fa,ɡɒv,Cow cows.,0.0
گاوی,fa,ɡɒvj,Cow.,0.0
گاگول,fa,ɡɒɡvl,Gogol.,0.0
گایدن,fa,ɡɒjdn,Gasting.,0.0
گایدی,fa,ɡɒjdj,Guyy.,0.0
گاییدن,fa,ɡɒjjdn,Gaye.,0.0
گردن دراز,fa,ɡrdndrɒz,The long neck.,0.0
گشاد,fa,ɡʃɒd,and wide.,0.0
گوز,fa,ɡvz,Goes.,0.0
گوزو,fa,ɡvzv,Gozo.,0.0
گوسفند,fa,ɡvsfnd,sheep.,0.0
گوش دراز,fa,ɡvʃdrɒz,Long ears.,0.0
گوه,fa,ɡvh,Go.,0.0
گوه,fa,ɡvh,Go.,0.0
گی زن,fa,ɡjzn,Gay woman.,0.0
گیخوار,fa,ɡjxvɒr,Gayty.,0.0
یبن زنا,fa,jbnznɒ,Marriage of adultery.,0.0
مادرتو,fa,mɒdrtv,Mother.,0.0
ناموستو,fa,nɒmvstv,Names.,0.0
چنده,fa,tʃndh,A few.,0.0
باسنی,fa,bɒsnj,The hip.,0.0
سیکیم,fa,sjkjm,Skem.,0.0
سگ ناموس,fa,sɡnɒmvs,Dog named,0.0
نوب,fa,nvb,"No, no.",0.0
خایمال,fa,xɒjmɒl,خای,0.0
مادر به خطا,fa,mɒdrbhxtɒ,Mother to error.,-0.4019
کصلیس,fa,ksljs,The Cross.,0.0
بکنت,fa,bknt,Do you do it.,0.0
کصده,fa,ksdh,Kundice.,0.0
گورومساخ,fa,ɡvrvmsɒx,Goremunda.,0.0
پوفیوز,fa,vfjvz,Puffice.,0.0
پدرتو,fa,drtv,Father.,0.0
قورومساق,fa,ɣvrvmsɒɣ,The chorus.,0.0
سیهدیر,fa,sjhdjr,The CALLER.,0.0
اوبی,fa,ɒvbj,Oh Abby.,0.0
مادر سگ,fa,mɒdrsɡ,Mother of Dog.,0.0
نگایدم,fa,ŋɒjdm,Look at me.,0.0
блядина,ru,bladina,whore,-0.6486
закрой рот,ru,zakrojrot,shut your mouth,0.0
чушка,ru,tɕuʂka,stuffed animal,0.0
куни,ru,kuni,cunny,0.0
жидоёбское,ru,ʒidoobskoe,Jew,0.0
тварь,ru,tvar,creature,0.0
мымра,ru,mɨmra,mummy,0.0
пасть забей,ru,pastzabej,shut your mouth.,0.0
еврей,ru,jevrej,Jew,0.0
падла ебаная,ru,padlaebanaa,fucking asshole,0.0
выблядок,ru,vɨbladok,scumbag,-0.6369
алкоголик,ru,alkoɡolik,alcoholic,0.0
гандон штопаный,ru,ɡandonʂtopanɨj,douche bag,-0.3612
зануда,ru,zanuda,nerd,-0.296
пендосия,ru,pendosia,pandosia,0.0
сука,ru,suka,bitch,-0.5859
пидор,ru,pidor,faggot,-0.6597
страхоёбище,ru,straxoobiɕe,motherfucker,-0.6808
срака,ru,sraka,asshole,0.0
бомж,ru,bomʒ,bum,0.0
радужный мальчик,ru,raduʒnɨjmaltɕik,rainbow boy,0.0
стоячек,ru,stoatɕek,riser,0.0
взбляд,ru,vzblad,prying,0.0
а хули,ru,axuli,what the fuck,-0.5423
святоша,ru,svatoʂa,saint,0.0
ёбаный стос,ru,jobanɨjstos,fucking stos,0.0
алень,ru,alen,stag,0.0
пиздоблошка,ru,pizdobloʂka,cunt,-0.4939
хуедин,ru,xuedin,Huedin,0.0
нихуя,ru,nixua,fuck,-0.5423
голуби,ru,ɡolubi,pigeons,0.0
пришью,ru,priʂu,sew,0.0
гнойный,ru,ɡnojnɨj,purulent,0.0
блядский,ru,bladskij,fucking,0.0
наебнуться,ru,naebnutsa,fuck up,-0.5423
мухосоранск,ru,muxosoransk,mukhosoransk,0.0
елдак,ru,jeldak,dick,-0.5106
наеб,ru,naeb,fuck,-0.5423
хуеман,ru,xueman,hueman,0.0
хуйня,ru,xujna,bullshit,-0.5859
доебались,ru,doebalis,fucked up,-0.6597
выебон,ru,vɨebon,fuck,-0.5423
хуле,ru,xule,hoole,0.0
змея,ru,zmea,snake,0.0
волосня,ru,volosna,hair,0.0
чучмен,ru,tɕutɕmen,choochman,0.0
на хуя,ru,naxua,for fuck's sake,0.0
обламаться,ru,oblamatsa,screw up,-0.1027
мерхавеч,ru,merxavetɕ,merhavec,0.0
барыга,ru,barɨɡa,bargainer,0.0
дерьмоед,ru,dermoed,turd,0.0
ебанулось,ru,jebanulos,fucked up,-0.6597
дупло,ru,duplo,hollow,0.0
присунуть,ru,prisunut,poke,0.0
ахуел,ru,axuel,fuck,-0.5423
блядское,ru,bladskoe,fucking,0.0
