Word,Language,IPA
زنا زاده,fa,znɒ zɒdh
زنا,fa,znɒ
زنازاده,fa,znɒzɒdh
زنتو,fa,zntv
زنشو,fa,znʃv
زنیکه,fa,znjkh
سادیسمی,fa,sɒdjsmj
ساک,fa,sɒk
ساکونی,fa,sɒkvnj
سرخور,fa,srxvr
سرکیر,fa,srkjr
سسکی,fa,sskj
سوراخ کون,fa,svrɒx kvn
سوراخ کون,fa,svrɒx kvn
سولاخ,fa,svlɒx
سکس چت,fa,sks t͡ʃt
سکس,fa,sks
سکسی باش,fa,sksj bɒʃ
سکسی,fa,sksj
سکسیم,fa,sksjm
سکسیی,fa,sksjj
سگ تو روحت,fa,sɡ tv rvht
سگ دهن,fa,sɡ dhn
سگ صفت,fa,sɡ sft
سگ پدر,fa,sɡ پdr
سگی,fa,sɡj
سیکتیر,fa,sjktjr
شاسگول,fa,ʃɒsɡvl
شاش,fa,ʃɒʃ
شق کردن,fa,ʃɣ krdn
شل مغز,fa,ʃl mɣz
شنگول,fa,ʃŋvl
شهوتی,fa,ʃhvtj
صیغه ای,fa,sjɣh ɒj
صیک,fa,sjk
عرب,fa,ʔrb
عرق خور,fa,ʔrɣ xvr
عمتو,fa,ʔmtv
عمه ننه,fa,ʔmh nnh
عن تر,fa,ʔn tr
عن,fa,ʔn
عنتر,fa,ʔntr
عوضی,fa,ʔvzj
غرمساق,fa,ɣrmsɒɣ
غرمصاق,fa,ɣrmsɒɣ
فاحشه خانم,fa,fɒhʃh xɒnm
فاحشه,fa,fɒhʃh
فارس,fa,fɒrs
فاک فیس,fa,fɒk fjs
فیلم سوپر,fa,fjlm svپr
قرتی,fa,ɣrtj
قرمساق,fa,ɣrmsɒɣ
قرمصاق,fa,ɣrmsɒɣ
قس,fa,ɣs
لا پا,fa,lɒ پɒ
لاس,fa,lɒs
لاش گوشت,fa,lɒʃ ɡvʃt
لاشی,fa,lɒʃj
لاکونی,fa,lɒkvnj
لجن,fa,ld͡ʒn
لخت,fa,lxt
لختی,fa,lxtj
لر,fa,lr
لز,fa,lz
مادر جنده,fa,mɒdr d͡ʒndh
مادرجنده,fa,mɒdrd͡ʒndh
مادرسگ,fa,mɒdrsɡ
مادرقهوه,fa,mɒdrɣhvh
مادرکونی,fa,mɒdrkvnj
مالوندن,fa,mɒlvndn
ماچ کردنی,fa,mɒt͡ʃ krdnj
مرتیکه,fa,mrtjkh
مردیکه,fa,mrdjkh
مرض داری,fa,mrz dɒrj
مرضداری,fa,mrzdɒrj
مشروب,fa,mʃrvb
ملنگ,fa,mlŋ
ممه خور,fa,mmh xvr
ممه,fa,mmh
منگل,fa,mŋl
میخوریش,fa,mjxvrjʃ
نرکده,fa,nrkdh
نعشه,fa,nʔʃh
نکبت,fa,nkbt
نگاییدم,fa,ŋɒjjdm
هیز,fa,hjz
ولدزنا,fa,vldznɒ
پدر سوخته,fa,پdr svxth
پدر سگ,fa,پdr sɡ
پدر صلواتی,fa,پdr slvɒtj
پدرسگ,fa,پdrsɡ
پریود,fa,پrjvd
پستان,fa,پstɒn
پسون,fa,پsvn
پشمام,fa,پʃmɒm
پفیوز,fa,پfjvz
پلشت,fa,پlʃt
پورن,fa,پvrn
پپه,fa,پپh
چاغال,fa,t͡ʃɒɣɒl
چاقال,fa,t͡ʃɒɣɒl
چس خور,fa,t͡ʃs xvr
چس,fa,t͡ʃs
کاسکش,fa,kɒskʃ
کث لیس,fa,ks ljs
کث,fa,ks
کثافت,fa,ksɒft
کثافط,fa,ksɒft
کردن,fa,krdn
کردنی,fa,krdnj
کرم,fa,krm
کس خل,fa,ks xl
کس خور,fa,ks xvr
کس خیس,fa,ks xjs
کس دادن,fa,ks dɒdn
کس لیس,fa,ks ljs
کس لیسیدن,fa,ks ljsjdn
کس ننت,fa,ks nnt
کس و کیر,fa,ks v kjr
کس کردن,fa,ks krdn
کس کش,fa,ks kʃ
کس,fa,ks
کسخل,fa,ksxl
کسشعر,fa,ksʃʔr
کسکش,fa,kskʃ
کسکیر,fa,kskjr
کص خل,fa,ks xl
کص لیس,fa,ks ljs
کص,fa,ks
کصافت,fa,ksɒft
کصافط,fa,ksɒft
کصخل,fa,ksxl
کصکش,fa,kskʃ
کلفت,fa,klft
کله کیری,fa,klh kjrj
کوث لیس,fa,kvs ljs
کوس خل,fa,kvs xl
کوس خور,fa,kvs xvr
کوس لیس,fa,kvs ljs
کوس,fa,kvs
کوص خل,fa,kvs xl
کوص لیس,fa,kvs ljs
کوص,fa,kvs
کون تپل,fa,kvn tپl
کون ده,fa,kvn dh
کون سوراخ,fa,kvn svrɒx
کون پنیر,fa,kvn پnjr
کون گنده,fa,kvn ɡndh
کون,fa,kvn
کونده خار,fa,kvndh xɒr
کونده خوار,fa,kvndh xvɒr
کونده,fa,kvndh
کونشو,fa,kvnʃv
کونی,fa,kvnj
کونی,fa,kvnj
کیر,fa,kjr
کیردراز,fa,kjrdrɒz
کیردوس,fa,kjrdvs
کیرر,fa,kjrr
کیرمکیدن,fa,kjrmkjdn
کیرناز,fa,kjrnɒz
کیروکس,fa,kjrvks
کیروکس,fa,kjrvks
کیری,fa,kjrj
گاو,fa,ɡɒv
گاوی,fa,ɡɒvj
گاگول,fa,ɡɒɡvl
گایدن,fa,ɡɒjdn
گایدی,fa,ɡɒjdj
گاییدن,fa,ɡɒjjdn
گردن دراز,fa,ɡrdn drɒz
گشاد,fa,ɡʃɒd
گوز,fa,ɡvz
گوزو,fa,ɡvzv
گوسفند,fa,ɡvsfnd
گوش دراز,fa,ɡvʃ drɒz
گوه,fa,ɡvh
گوه,fa,ɡvh
گی زن,fa,ɡj zn
گیخوار,fa,ɡjxvɒr
یبن زنا,fa,jbn znɒ
مادرتو,fa,mɒdrtv
ناموستو,fa,nɒmvstv
چنده,fa,t͡ʃndh
باسنی,fa,bɒsnj
سیکیم,fa,sjkjm
سگ ناموس,fa,sɡ nɒmvs
نوب,fa,nvb
خایمال,fa,xɒjmɒl
مادر به خطا,fa,mɒdr bh xtɒ
کصلیس,fa,ksljs
بکنت,fa,bknt
کصده,fa,ksdh
گورومساخ,fa,ɡvrvmsɒx
پوفیوز,fa,پvfjvz
پدرتو,fa,پdrtv
قورومساق,fa,ɣvrvmsɒɣ
سیهدیر,fa,sjhdjr
اوبی,fa,ɒvbj
مادر سگ,fa,mɒdr sɡ
نگایدم,fa,ŋɒjdm
