Word,Language,IPA
che ti morisse  la mamma,it,ke ti morisːe  la mamːa
minchia!,it,minkia!
sputtanare,it,sputːanare
che due palle,it,ke due palːe
zuia,it,suia
frocio,it,frot͡ʃo
sborro,it,zborːo
santo cazzo madre di cristo,it,santo kat͡so madre di kristo
cavolo,it,kavolo
mignotta,it,miɲotːa
porco giuda,it,porko d͡ʒuda
vai a cagare,it,vai a kaɡare
cazzata,it,kat͡sata
merda,it,merda
mannaggia,it,manːad͡ʒːa
pompinara,it,pompinara
troie,it,troie
i coglioni,it,i koʎoni
finocchio,it,finokːio
cagare,it,kaɡare
sburro,it,zburːo
minchiata,it,minkiata
smerdare,it,zmerdare
puttanata,it,putːanata
mona,it,mona
fava,it,fava
ir budello di tu ma’,it,ir budelːo di tu ma’
alla pecorina,it,alːa pekorina
ricchioni,it,rikːioni
fighe,it,fiɡe
leccami la figa,it,lekːami la fiɡa
cazzo in culo,it,kat͡so in kulo
che culo,it,ke kulo
ti corro in culo,it,ti korːo in kulo
pompinare,it,pompinare
va' a fare in culo,it,va' a fare in kulo
porca puttana,it,porka putːana
a fanabla!,it,a fanabla!
fottiti,it,fotːiti
baldracche,it,baldrakːe
minchione,it,minkione
ce un cibirut,it,t͡ʃe un t͡ʃibirut
al diavolo,it,al diavolo
curnut!,it,kurnut!
cornuto,it,kornuto
 porco iddio,it,porko idːio
bocchini,it,bokːini
che ti morisse la madre,it,ke ti morisːe la madre
care un calcio nel culo a qualcuno,it,kare un kalt͡ʃo nel kulo a kualkuno
ditalini,it,ditalini
porco dio,it,porko dio
scoreggia,it,ʃored͡ʒːa
mone,it,mone
accidenti,it,at͡ʃːidenti
rompere il culo a qualcuno,it,rompere il kulo a kualkuno
spagnola,it,spaɲola
vattela a pijà 'n der culo,it,vatːela a pija 'n der kulo
finocchi,it,finokːi
avere la faccia come il culo,it,avere la fat͡ʃːa kome il kulo
sfacim e merde,it,sfat͡ʃim e merde
maiala,it,maiala
porca miseria,it,porka miseria
cagacazzo,it,kaɡakat͡so
segaiolo,it,seɡaiolo
cornuti,it,kornuti
pompinaro,it,pompinaro
zoccola,it,sokːola
rotto nel culo,it,rotːo nel kulo
minchie,it,minkie
culi,it,kuli
incazzarsi,it,inkat͡sarsi
fottere,it,fotːere
fongoul,it,fonɡoul
sfiga,it,sfiɡa
cazzeggiare,it,kat͡sed͡ʒːare
dio cangurello,it,dio kanɡurelːo
vai a vendere il culo,it,vai a vendere il kulo
che cazzo,it,ke kat͡so
mangia merde e morte,it,mand͡ʒa merde e morte
mimbominkia,it,mimbominkia
accidenti!,it,at͡ʃːidenti!
scopare,it,ʃopare
"vai a farti fottere, puttana!",it,"vai a farti fotːere, putːana!"
ti ammazzo,it,ti amːat͡so
cagata,it,kaɡata
ricchione,it,rikːione
bastardo,it,bastardo
seghe,it,seɡe
puttana,it,putːana
vai a dar via il culo,it,vai a dar via il kulo
cazzo Madre di dio,it,kat͡so madre di dio
pompino,it,pompino
sborra,it,zborːa
tu piezza di merda!,it,tu piet͡sa di merda!
figlio un cane,it,fiʎo un kane
gran’ disgraziato,it,ɡran’ disɡrasiato
andare a puttane:,it,andare a putːane:
puttaniere,it,putːaniere
mafankulo,it,mafankulo
porca troia,it,porka troia
cazzi,it,kat͡si
porca eva,it,porka eva
che te pozzino ammazza!,it,ke te pot͡sino amːat͡sa!
sbora,it,zbora
testa di cazzo,it,testa di kat͡so
cretino,it,kretino
che palle,it,ke palːe
bastardi,it,bastardi
rottinculo,it,rotːinkulo
dio santo!,it,dio santo!
segone,it,seɡone
sega,it,seɡa
sborrare,it,zborːare
cazzo,it,kat͡so
gnocche,it,ɲokːe
mannaggia tua,it,manːad͡ʒːa tua
nessuno mi unfungulo,it,nesːuno mi unfunɡulo
cazzo di merda,it,kat͡so di merda
Testa di minchia,it,testa di minkia
fiche,it,fike
tu ma’ piscia in piedi,it,tu ma’ pist͡ʃa in piedi
brutto figlio di puttana bastardo,it,brutːo fiʎo di putːana bastardo
froci,it,frot͡ʃi
puttane,it,putːane
