Word,Language,IPA
crève la gueule ouverte!,fr,kʀə̀vɛ la ɡɥœlɛ uvɛʀtə!
fais chier,fr,fɛs ʃjəʀ
rien à foutre,fr,ʀjən a futʀ
sac vin,fr,sak vɛ̃
petit tabernac,fr,pətit tabɛʀnak
tu me gonfles,fr,ty mə ɡɔ̃fl
pédale,fr,pedal
avale mes couilles,fr,avalə məs kujl
un casse-couille,fr,yn kasə-kujl
con,fr,kɔ̃
c’est con,fr,k’ɛst kɔ̃
du pq,fr,dy pk
face de cul,fr,fazə də kyl
branleur de chiens morts,fr,bʀɑ̃lœʀ də ʃjɛ̃s mɔʀ
ta mere suce des bites en enfer,fr,ta məʀɛ syzɛ dɛs bitɛs ɛn ɑ̃fəʀ
merdasse,fr,mɛʀdas
se taire,fr,sə tɛʀ
salope,fr,salɔp
vas faire foutre a la vache,fr,vas fɛʀə futʀə a la vaʃ
emmerdeuse,fr,ɑmɛʀdœz
prendre pour une conne,fr,pʀɑ̃dʀə puʀ ynə kɔn
sac merde,fr,sak mɛʀd
c’est quoi ce bordel,fr,k’ɛst kwa sə bɔʀdəl
à  chier,fr,a  ʃjəʀ
enculer les mouches,fr,ɑ̃kyləʀ ləs muʃ
rien à foutre de,fr,ʀjən a futʀə d
trou du cul,fr,tʀu dy kyl
salaud,fr,salo
bite,fr,bit
merde embulante,fr,mɛʀdə ɑ̃bylɑ̃t
ta gueule,fr,ta ɡɥœl
ça pue,fr,sa py
j’en ai ral le bol,fr,ʒ’ən ai ʀal lə bɔl
t’as pas de couilles,fr,t’as pas də kujl
mange ma bite,fr,mɑ̃ʒə ma bit
sa race,fr,sa ʀaz
ta mere la pute,fr,ta məʀə la pyt
tu commence m’enmerder,fr,ty kɔmɑ̃sə m’ɑmɛʀdəʀ
idiot,fr,idjo
petite pute,fr,pətitə pyt
tu et un ane,fr,ty ət yn an
frambler,fr,fʀɑ̃bləʀ
 je me fais chier,fr,ʒə mɛ fɛs ʃjəʀ
emmerder,fr,ɑmɛʀdəʀ
vous vissez,fr,vus visɛ
bordel,fr,bɔʀdəl
oh putain de merde,fr,ɔ pytɛn də mɛʀd
se foutre dans la merde,fr,sə futʀə dɑ̃s la mɛʀd
connasse,fr,kɔnas
note from benjamin,fr,nɔtə fʀɔm bɑ̃ʒamɛ̃
conneries,fr,kɔnɛʀj
foutre,fr,futʀ
laisse-moi tranquille,fr,lɛsə-mwa tʀɑ̃kij
baiser,fr,bɛzəʀ
je te nique ta race sale fils de chien,fr,ʒə tɛ nikɛ ta ʀazɛ salɛ fils də ʃjɛ̃
putain de,fr,pytɛn d
branler,fr,bʀɑ̃ləʀ
aller se faire foutre,fr,aləʀ sɛ fɛʀə futʀ
foutre la merde,fr,futʀə la mɛʀd
j’en ai plus rien à foutre,fr,ʒ’ən ai plys ʀjən a futʀ
je m’en bats les couilles,fr,ʒə m’ɛn bats ləs kujl
ce mécanicien m’a bien baisé,fr,sə mekanisjɛ̃ m’a bjən bɛze
garce,fr,ɡaʀs
casser les couilles,fr,kasəʀ ləs kujl
zut,fr,zy
dégénéré,fr,deʒeneʀe
bordel de merde,fr,bɔʀdəl də mɛʀd
enculer une mouche,fr,ɑ̃kyləʀ ynə muʃ
brûle en enfer,fr,bʀylə ɛn ɑ̃fəʀ
de merde,fr,də mɛʀd
abruti,fr,abʀyti
ça schlingue,fr,sa sʃlɛ̃ɡ
couillonne,fr,kujlɔn
vous êtes stupide,fr,vus ə̂təs stypid
dégueulasse,fr,deɡɥœlas
framble,fr,fʀɑ̃blə
tais-toi,fr,tɛs-twa
trouduc,fr,tʀudyk
nique ta mère,fr,nikə ta mə̀ʀ
ferme ta gueule,fr,fɛʀmə ta ɡɥœl
conne,fr,kɔn
enculé,fr,ɑ̃kyle
partir en couille,fr,paʀtiʀ ən kujl
crétin,fr,kʀetɛ̃
chier,fr,ʃjɛʀ
baise toi,fr,bɛzə twa
pute,fr,pyt
j’en ai ral le cul,fr,ʒ’ən ai ʀal lə kyl
merde,fr,mɛʀd
putain t’es moche,fr,pytɛn t’əs mɔʃ
connerie,fr,kɔnəʀi
prendre pour un con,fr,pʀɑ̃dʀə puʀ yn kɔ̃
debile,fr,dəbil
ne rien foutre,fr,nə ʀjən futʀ
t’es débile,fr,t’əs debil
rien à branler ,fr,ʀjən a bʀɑ̃ləʀ
la vache,fr,la vaʃ
je pis dans ta bouche,fr,ʒə pis dɑ̃s ta buʃ
qu’est-ce que tu branles,fr,k’ɛst-sə kə ty bʀɑ̃l
putain de bordel de merde,fr,pytɛn də bɔʀdɛl də mɛʀd
se casser,fr,sə kasəʀ
je m’en fous pas mal,fr,ʒə m’ən fus pas mal
fils de pute,fr,fils də pyt
faire chier,fr,fɛʀə ʃjəʀ
enculer,fr,ɑ̃kyləʀ
il est stupide,fr,il ɛst stypid
branler – to jerk off,fr,bʀɑ̃ləʀ – tɔ ʒɛʀk ɔf
j’en ai marre,fr,ʒ’ən ai maʀʀ
