Word,Language,IPA
गांडफटू,hi,ɡaːnɖpʰəʈuː
गांडफटी,hi,ɡaːnɖpʰəʈiː
गांडफटा,hi,ɡaːnɖpʰəʈaː
गांडफटों,hi,ɡaːnɖpʰəʈon
गांडमस्ती,hi,ɡaːnɖməstiː
गांड मारना,hi,ɡaːnɖə maːrnaː
गांड मारू,hi,ɡaːnɖə maːruː
गांड मारी,hi,ɡaːnɖə maːriː
गांड माराना,hi,ɡaːnɖə maːraːnaː
झाँट,hi,d͡ʒ̤ãːʈə
गांड फटू,hi,ɡaːnɖə pʰəʈuː
गांड फटी,hi,ɡaːnɖə pʰəʈiː
गांड फटा,hi,ɡaːnɖə pʰəʈaː
गांड फटों,hi,ɡaːnɖə pʰəʈon
गांड मस्ती,hi,ɡaːnɖə məstiː
गांडमरना,hi,ɡaːnɖmərnaː
गांडमरू,hi,ɡaːnɖməruː
गांडमराना,hi,ɡaːnɖməraːnaː
गांडमारी,hi,ɡaːnɖmaːriː
रंडीबाज़ार,hi,rənɖiːbaːzaːr
चोदो,hi,t͡ʃodo
चोदी,hi,t͡ʃodiː
चोदने,hi,t͡ʃodne
चोदवा,hi,t͡ʃodvaː
चुदो,hi,t͡ʃudo
चुदी,hi,t͡ʃudiː
चुदने,hi,t͡ʃudne
चुदवा,hi,t͡ʃudvaː
चोदाई,hi,t͡ʃodaːiː
चुदा,hi,t͡ʃudaː
चुदाई,hi,t͡ʃudaːiː
चुदवाना,hi,t͡ʃudvaːnaː
हरामी,hi,ɦəraːmiː
हरामिया,hi,ɦəraːmijaː
हरामज़ादा,hi,ɦəraːmzaːdaː
हरामज़ादी,hi,ɦəraːmzaːdiː
हरामख़ोर,hi,ɦəraːmxor
कमीना,hi,kəmiːnaː
कमीनी,hi,kəmiːniː
भोसड़ी,hi,b̤osɽiː
भोसड़ीके,hi,b̤osɽiːke
भंडवा,hi,b̤ənɖvaː
भंडी,hi,b̤ənɖiː
भड़वा,hi,b̤əɽvaː
भड़वी,hi,b̤əɽviː
रांड,hi,raːnɖə
रांडवा,hi,raːnɖvaː
रांडिबाजार,hi,raːnɖibaːd͡ʒaːr
हिजड़ा,hi,ɦid͡ʒɽaː
हिजरा,hi,ɦid͡ʒraː
हिजड़े,hi,ɦid͡ʒɽe
छक्का,hi,t͡ʃʰəkkaː
गांडू,hi,ɡaːnɖuː
गंडू,hi,ɡənɖuː
लवड़ा,hi,ləvɽaː
लौड़ा,hi,lɔːɽaː
लोडा,hi,loɖaː
लंड,hi,lənɖə
लंडवा,hi,lənɖvaː
चूत,hi,t͡ʃuːt
चूतिया,hi,t͡ʃuːtijaː
चूतमार,hi,t͡ʃuːtmaːr
चूतियापा,hi,t͡ʃuːtijaːpaː
