Word,Language,IPA
tocar los cojones,es,tokaɾ los koxones
me cago en la virgen,es,me kaɡo en la biɾxen
mamona,es,mamona
cabron,es,kabɾon
mamavergas,es,mamabeɾɡas
tonta,es,tonta
cueco,es,kweko
jodido,es,xodido
conchatumadre,es,kont͡ʃatumadɾe
se la metio,es,se la metjo
le quedo una chimba,es,le kedo una t͡ʃimba
gilipollas,es,xilipoʝas
pelos de los huevos,es,pelos de los uebos
mal bicho,es,mal bit͡ʃo
metete un palo por el culo,es,metete un palo poɾ el kulo
me cago en la leche,es,me kaɡo en la let͡ʃe
verga dura,es,beɾɡa duɾa
me importa un huevo,es,me impoɾta un uebo
huevada,es,uebada
cipote,es,sipote
chupame la polla,es,t͡ʃupame la poʝa
hijo de la chingada,es,ʝxo de la t͡ʃinɡada
comecaca,es,komekaka
besame el culo,es,besame el kulo
zunga,es,sunɡa
estás puto,es,estas puto
hijo de mil putas,es,ʝxo de mil putas
cara de pito,es,kaɾa de pito
bombero,es,bombeɾo
chotaco,es,t͡ʃotako
desviado,es,desbjado
cagaste y saltaste en la caca,es,kaɡaste i saltaste en la kaka
tu madre es una puta,es,tu madɾe es una puta
métetelo por el culo,es,metetelo poɾ el kulo
rosquete,es,ɾoskete
caracho,es,kaɾat͡ʃo
negrata,es,neɡɾata
me encanta tu culo,es,me enkanta tu kulo
garchar,es,ɡaɾt͡ʃaɾ
madrear,es,madɾeaɾ
tirate a un poso,es,tiɾate a un poso
una pendeja,es,una pendexa
me cago,es,me kaɡo
de cojones,es,de koxones
puto,es,puto
pinga,es,pinɡa
trucha,es,tɾut͡ʃa
calientapollas,es,kaljentapoʝas
jupa de pollo,es,xupa de poʝo
mondá,es,monda
basura,es,basuɾa
fundillo,es,fundiʝo
valió verga,es,baljo beɾɡa
cundango,es,kundanɡo
wey,es,wei
gonorrea,es,ɡonorea
pedazo,es,pedaso
madrazo,es,madɾaso
banana,es,banana
porongo,es,poɾonɡo
me importa un cojón,es,me impoɾta un koxon
macha,es,mat͡ʃa
no me jodas,es,no me xodas
manflor,es,manfloɾ
trabuco,es,tɾabuko
por huevos,es,poɾ uebos
comilón,es,komilon
zorra,es,sora
todo el jupa de poll,es,todo el xupa de poʝ
triple-hijueputa,es,tɾiple-ʝxweputa
tocarse los cojones,es,tokaɾse los koxones
poronga,es,poɾonɡa
cocoon,es,kokoon
tocarse los huevos,es,tokaɾse los uebos
verga muy grande,es,beɾɡa mui ɡɾande
raro,es,ɾaɾo
chingón,es,t͡ʃinɡon
no joda,es,no xoda
follar,es,foʝaɾ
soplanucas,es,soplanukas
negrito,es,neɡɾito
puttus,es,puttus
verga,es,beɾɡa
chingar,es,t͡ʃinɡaɾ
fran,es,fɾan
gilipolla,es,xilipoʝa
caquita de la vaquita,es,kakita de la bakita
me cago en ti,es,me kaɡo en ti
kieta el stupido elephante,es,kjeta el stupido elepante
knave,es,knabe
güey,es,ɡwei
bete a la verga,es,bete a la beɾɡa
orto,es,oɾto
payaso,es,pajaso
cabro,es,kabɾo
loco,es,loko
capullo,es,kapuʝo
mariconzón,es,maɾikonson
mierda de toro,es,mjeɾda de toɾo
chula,es,t͡ʃula
echar madrazos,es,et͡ʃaɾ madɾasos
tocarse las pelotas,es,tokaɾse las pelotas
tragasables,es,tɾaɡasables
afeminado,es,afeminado
mierda,es,mjeɾda
loca,es,loka
hijueputa,es,ʝxweputa
pinnus,es,pinnus
tonto,es,tonto
collons,es,koʝons
buey,es,bwei
culear,es,kuleaɾ
qué chingados es eso,es,ke t͡ʃinɡados es eso
puñal,es,puɲal
conchetumadre,es,kont͡ʃetumadɾe
ahueonao,es,aweonao
garcha,es,ɡaɾt͡ʃa
pelotudo,es,pelotudo
miércoles,es,mjeɾkoles
le metio la verga,es,le metjo la beɾɡa
jode tu madre ayer noche,es,xode tu madɾe ajeɾ not͡ʃe
cacorro,es,kakoro
percanta,es,peɾkanta
ahuevoneado,es,aweboneado
chinga tu madre,es,t͡ʃinɡa tu madɾe
perra,es,pera
chorizo,es,t͡ʃoɾiso
palanca de cambios,es,palanka de kambjos
caca,es,kaka
culero,es,kuleɾo
joystick,es,xoistikk
pájaro,es,paxaɾo
hueco,es,ueko
tu eres más feo que el culo de un mono,es,tu eɾes mas feo ke el kulo de un mono
yo cago en la leche de tu puta madre,es,io kaɡo en la let͡ʃe de tu puta madɾe
estás cabrón,es,estas kabɾon
atontado,es,atontado
chingada,es,t͡ʃinɡada
chingona,es,t͡ʃinɡona
"uy, que care-chimba",es,"ui, ke kaɾe-t͡ʃimba"
chulo,es,t͡ʃulo
bolson,es,bolson
chingada madre,es,t͡ʃinɡada madɾe
mamagüevo,es,mamaɡwebo
tu madre es una puta fea,es,tu madɾe es una puta fea
tragaleche,es,tɾaɡalet͡ʃe
vaina,es,baina
gilipollez,es,xilipoʝes
coger,es,koxeɾ
chota,es,t͡ʃota
muerdealmohadas,es,mweɾdealmoadas
cara de mi huevo izquierdo,es,kaɾa de mi uebo iskjeɾdo
puttana,es,puttana
cockroach,es,kokkɾoat͡ʃ
chivo,es,t͡ʃibo
andate a la chucha,es,andate a la t͡ʃut͡ʃa
culito,es,kulito
tocar los huevos,es,tokaɾ los uebos
"qué maricón de mierda, eh?",es,"ke maɾikon de mjeɾda, e?"
poto,es,poto
polla,es,poʝa
bujarra,es,buxara
bugarrón,es,buɡaron
bombilla de cuero,es,bombiʝa de kweɾo
maricueca,es,maɾikweka
tu madre es muy gato y feo,es,tu madɾe es mui ɡato i feo
me cago en la hostia,es,me kaɡo en la ostja
soy la verga andando,es,soi la beɾɡa andando
"mano, eres tremendamente maricón",es,"mano, eɾes tɾemendamente maɾikon"
puta barrata,es,puta barata
el orto,es,el oɾto
"chinga tu madre, cabrón",es,"t͡ʃinɡa tu madɾe, kabɾon"
puta madre,es,puta madɾe
boludo,es,boludo
so',es,so'
está muy pinche,es,esta mui pint͡ʃe
coño,es,koɲo
huevos,es,uebos
te voy a meter la verga,es,te boi a meteɾ la beɾɡa
mira qué cabrón,es,miɾa ke kabɾon
desgraciado,es,desɡɾasiado
colizón,es,kolison
marimacha,es,maɾimat͡ʃa
carajito,es,kaɾaxito
bambaro,es,bambaɾo
roscón,es,ɾoskon
mierda de toros,es,mjeɾda de toɾos
cochón,es,kot͡ʃon
plumón,es,plumon
culiao,es,kuljao
manflora,es,manfloɾa
chichis,es,t͡ʃit͡ʃis
hueles a mierda,es,ueles a mjeɾda
vete al carajo,es,bete al kaɾaxo
raghead,es,ɾaɡead
camel jockey,es,kamel xokkei
chingon,es,t͡ʃinɡon
chotar,es,t͡ʃotaɾ
pendo,es,pendo
chocha,es,t͡ʃot͡ʃa
ahuevado,es,awebado
estúpido,es,estupido
bujarrón,es,buxaron
pendejo,es,pendexo
bufarrón,es,bufaron
me cago en tu puta madre,es,me kaɡo en tu puta madɾe
parchita,es,paɾt͡ʃita
culo,es,kulo
bicho,es,bit͡ʃo
yo soy cabrón,es,io soi kabɾon
pinche güey,es,pint͡ʃe ɡwei
panocha,es,panot͡ʃa
maricón,es,maɾikon
marica,es,maɾika
perro,es,pero
bombilla,es,bombiʝa
culo peludo,es,kulo peludo
que te jodan,es,ke te xodan
chapero,es,t͡ʃapeɾo
huevon,es,uebon
madre,es,madɾe
jack,es,xakk
calójili,es,kaloxili
chingados,es,t͡ʃinɡados
tu hermano no tiene la ingle,es,tu eɾmano no tjene la inɡle
me cago en dios,es,me kaɡo en djos
cojete mi suegra,es,koxete mi sweɡɾa
tocar los pelotas,es,tokaɾ los pelotas
burro,es,buro
albondigas,es,albondiɡas
el ojete,es,el oxete
mayate,es,majate
pulla,es,puʝa
hijo de puta,es,ʝxo de puta
bastardo,es,bastaɾdo
"vení, oleme la chucha",es,"beni, oleme la t͡ʃut͡ʃa"
cuca,es,kuka
cagar,es,kaɡaɾ
partido,es,paɾtido
chocho,es,t͡ʃot͡ʃo
mariposa,es,maɾiposa
fleto,es,fleto
fresa,es,fɾesa
putus,es,putus
pija,es,pixa
rarito,es,ɾaɾito
imbécil,es,imbesil
pelotas,es,pelotas
chucha,es,t͡ʃut͡ʃa
cojones,es,koxones
homogay,es,omoɡai
que comemierderia,es,ke komemjeɾdeɾja
chucha de tu madre,es,t͡ʃut͡ʃa de tu madɾe
way,es,wai
chupamela,es,t͡ʃupamela
mamagüevazo,es,mamaɡwebaso
tienes ganas,es,tjenes ɡanas
idiota,es,idjota
