Word,Language,IPA
açık kapı,tr,at͡ʃɯk kapɯ
yarrağımın antifrizi,tr,jaɾɾaɰɯmɯn antifɾizi
mal,tr,mal
yarrağımı,tr,jaɾɾaɰɯmɯ
yosma,tr,josma
göte geldin,tr,ɡœte ɡeldin
sikimtırak,tr,sikimtɯɾak
dalga,tr,dalɡa
yarrağımı ye,tr,jaɾɾaɰɯmɯ je
amcik,tr,amd͡ʒik
aşüfte,tr,aʃyfte
ananı avradını sikeyim,tr,ananɯ avɾadɯnɯ sikejim
yarrağımın kurma kolu,tr,jaɾɾaɰɯmɯn kuɾma kolu
bok,tr,bok
ciğersiz pezevenk,tr,d͡ʒiɰeɾsiz pezevenk
dümbük,tr,dymbyk
pezevenk,tr,pezevenk
eşekoğlueşek,tr,eʃekoɰlueʃek
seni sikerim,tr,seni sikeɾim
apaçi,tr,apat͡ʃi
siktirici,tr,siktiɾid͡ʒi
hödük,tr,hœdyk
at hırsızı,tr,at hɯɾsɯzɯ
amını sikeyim,tr,amɯnɯ sikejim
götübozuk,tr,ɡœtybozuk
götünü sikeyim,tr,ɡœtyny sikejim
yarrak ağızlı,tr,jaɾɾak aɰɯzlɯ
anasını avradını siktiğimin orospu çocuğu,tr,anasɯnɯ avɾadɯnɯ siktiɰimin oɾospu t͡ʃod͡ʒuɰu
amına koyim,tr,amɯna kojim
ibne,tr,ibne
yedi ceddini siktiğimin oğlu,tr,jedi d͡ʒeddini siktiɰimin oɰlu
gerzek,tr,ɡeɾzek
sülaleni sikeyim,tr,sylaleni sikejim
göt siken,tr,ɡœt siken
sik,tr,sik
zübük,tr,zybyk
top,tr,top
ağzına sıçayım,tr,aɰzɯna sɯt͡ʃajɯm
hırt,tr,hɯɾt
piç,tr,pit͡ʃ
çekirge götü,tr,t͡ʃekiɾɡe ɡœty
yarak,tr,jaɾak
amına koyduğumun çocuğu,tr,amɯna kojduɰumun t͡ʃod͡ʒuɰu
yarak kürek,tr,jaɾak kyɾek
ananı sikerim,tr,ananɯ sikeɾim
amcık,tr,amd͡ʒɯk
fallik,tr,fallik
sürtük,tr,syɾtyk
fahişe,tr,fahiʃe
dalyarak,tr,daljaɾak
aşk meleği,tr,aʃk meleɰi
yarrağı yedin,tr,jaɾɾaɰɯ jedin
yordamını sikeyim,tr,joɾdamɯnɯ sikejim
dalağını sikerim,tr,dalaɰɯnɯ sikeɾim
göt lalesi,tr,ɡœt lalesi
sik kafalı,tr,sik kafalɯ
budala,tr,budala
ananı bacını sikeyim,tr,ananɯ bad͡ʒɯnɯ sikejim
siki tuttun,tr,siki tuttun
göt,tr,ɡœt
göt veren,tr,ɡœt veɾen
deyyus,tr,dejjus
yarrağı,tr,jaɾɾaɰɯ
gerizekalı,tr,ɡeɾizekalɯ
dürzü,tr,dyɾzy
sikimde değil,tr,sikimde deɰil
allah kahretsin,tr,allah kahɾetsin
amına kodumun piçi,tr,amɯna kodumun pit͡ʃi
sırık,tr,sɯɾɯk
öküz,tr,œkyz
milli olmak,tr,milli olmak
sikko,tr,sikko
dangalak,tr,danɡalak
eşek,tr,eʃek
ebesini siktiğimin göt lalesi,tr,ebesini siktiɰimin ɡœt lalesi
sıçarım böyle işe,tr,sɯt͡ʃaɾɯm bœjle iʃe
ağzını yüzünü siktiğimin pezevengi,tr,aɰzɯnɯ jyzyny siktiɰimin pezevenɡi
gelmişini geçmişini sikeyim,tr,ɡelmiʃini ɡet͡ʃmiʃini sikejim
amını götünden sikerim,tr,amɯnɯ ɡœtynden sikeɾim
